"filename", "language", "JSON", "TypeScript", "comment", "blank", "total"
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\cart\cart.controller.ts", "TypeScript", 0, 57, 0, 7, 64
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\cart\cart.module.ts", "TypeScript", 0, 18, 0, 2, 20
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\cart\cart.service.ts", "TypeScript", 0, 123, 10, 19, 152
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\cart\dto\add-cart-item.dto.ts", "TypeScript", 0, 13, 0, 3, 16
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\cart\dto\cart-response.dto.ts", "TypeScript", 0, 31, 0, 6, 37
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\cart\dto\update-cart-item.dto.ts", "TypeScript", 0, 9, 0, 2, 11
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\cart\entity\cart-item.entity.ts", "TypeScript", 0, 20, 0, 6, 26
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\cart\entity\cart.entity.ts", "TypeScript", 0, 14, 0, 4, 18
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\dto\create-order.dto.ts", "TypeScript", 0, 19, 0, 6, 25
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\dto\order-query.dto.ts", "TypeScript", 0, 8, 0, 2, 10
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\dto\order-response.dto.ts", "TypeScript", 0, 44, 0, 6, 50
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\entity\order-item.entity.ts", "TypeScript", 0, 25, 1, 11, 37
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\entity\order.entity.ts", "TypeScript", 0, 47, 0, 16, 63
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\events\order.events.ts", "TypeScript", 0, 25, 0, 3, 28
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\listeners\order-event.listener.ts", "TypeScript", 0, 56, 3, 9, 68
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\order.controller.ts", "TypeScript", 0, 78, 3, 12, 93
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\order.module.ts", "TypeScript", 0, 33, 0, 2, 35
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\order.service.ts", "TypeScript", 0, 331, 34, 66, 431
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\dto\cancel-payment.dto.ts", "TypeScript", 0, 6, 0, 2, 8
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\dto\payment-response.dto.ts", "TypeScript", 0, 18, 0, 2, 20
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\dto\verify-payment.dto.ts", "TypeScript", 0, 9, 0, 3, 12
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\entity\payment.entity.ts", "TypeScript", 0, 44, 0, 16, 60
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\listeners\product-event.listener.ts", "TypeScript", 0, 11, 0, 2, 13
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\product.service.spec.ts", "TypeScript", 0, 9, 0, 1, 10
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\product.service.ts", "TypeScript", 0, 7, 1, 2, 10
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\user\entity\user.entity.ts", "TypeScript", 0, 3, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\package.json", "JSON", 3, 0, 0, 0, 3
"c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\cart\cart.ts", "TypeScript", 0, 12, 0, 3, 15
"c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\cart\index.ts", "TypeScript", 0, 1, 0, 1, 2
"c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\index.ts", "TypeScript", 0, 2, 0, 0, 2
"c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\order\index.ts", "TypeScript", 0, 1, 0, 1, 2
"c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\order\order.ts", "TypeScript", 0, 42, 0, 7, 49
"Total", "-", 3, 1116, 52, 223, 1394
