"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\review.controller.ts", "TypeScript", 71, 1, 5, 77
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\review.module.ts", "TypeScript", 13, 0, 0, 13
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\review.service.ts", "TypeScript", 159, 6, 33, 198
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\settlement\dto\settlement-query.dto.ts", "TypeScript", 19, 0, 5, 24
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\settlement\dto\settlement-response.dto.ts", "TypeScript", 49, 0, 21, 70
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\settlement\entity\settlement.entity.ts", "TypeScript", 46, 4, 14, 64
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\settlement\events\settlement.events.ts", "TypeScript", 8, 0, 1, 9
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\settlement\listeners\settlement-event.listener.ts", "TypeScript", 71, 2, 14, 87
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\settlement\settlement.service.ts", "TypeScript", 125, 3, 29, 157
"c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\review\review.ts", "TypeScript", 20, 0, 4, 24
"Total", "-", 581, 16, 126, 723
