"filename", "language", "YAML", "JSON with Comments", "JavaScript", "TypeScript", "TypeScript JSX", "Markdown", "JSON", "PostCSS", "comment", "blank", "total"
"c:\Users\kiria\Desktop\fullstack\shopping_mall\.yarnrc.yml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kiria\Desktop\fullstack\shopping_mall\CSP_SECURITY_GUIDE.md", "Markdown", 0, 0, 0, 0, 0, -177, 0, 0, -1, -48, -226
"c:\Users\kiria\Desktop\fullstack\shopping_mall\README.md", "Markdown", 0, 0, 0, 0, 0, 194, 0, 0, 0, 53, 247
"c:\Users\kiria\Desktop\fullstack\shopping_mall\SECURITY_RECOMMENDATIONS.md", "Markdown", 0, 0, 0, 0, 0, -503, 0, 0, 0, -103, -606
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\app\app.module.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\audit.controller.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\audit.module.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, -1, 15
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\audit.service.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 6, 34
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\decorators\auditable.decorator.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 9, 5, 27
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\dto\audit-log-query.dto.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 9, 44
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\dto\audit-log-response.dto.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 10, 31
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\entity\audit-log.entity.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 11, 10, 47
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\interceptors\audit.interceptor.ts", "TypeScript", 0, 0, 0, 86, 0, 0, 0, 0, 8, 12, 106
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.controller.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\category.module.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\category.service.spec.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 4, 4, 35
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\category.service.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 2, 15
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\common.service.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 3, 7, 35
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\const\filter-mapper.const.ts", "TypeScript", 0, 0, 0, -38, 0, 0, 0, 0, 0, -4, -42
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\dto\paginate.dto.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\dto\validators\paginate-query.validator.ts", "TypeScript", 0, 0, 0, -55, 0, 0, 0, 0, -5, -10, -70
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\guards\paginate-query.guard.ts", "TypeScript", 0, 0, 0, -49, 0, 0, 0, 0, -5, -9, -63
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\interceptors\serialize.interceptor.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\seeds\category.seed.ts", "TypeScript", 0, 0, 0, 126, 0, 0, 0, 0, 0, 9, 135
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\seeds\product.seed.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 28
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\utils\with-retry.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 0, 10, 10, 67
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\data\beauty-products.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\data\book-products.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\data\clothing-products.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\data\food-products.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\data\living-products.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\data\shoes-products.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\inquiry\inquiry.controller.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\inquiry\inquiry.module.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\inquiry\inquiry.service.ts", "TypeScript", 0, 0, 0, -24, 0, 0, 0, 0, 1, -5, -28
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\entity\order.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\entity\shipment.entity.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\listeners\order-event.listener.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 4, 3, 14
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\order.controller.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
